"","M0","M1","M2","M3","M4","M5","M6","M7","M8","M9","M10","M11","M12","M13","M14","M15"
"CLOZE_pred_remef",-16.1390502314783,9.77235573838444e-06,-9.46520527151425,-15.9863309964078,-16.5545838446888,-9.48274128326338,-9.87114042454189,-16.3906240405421,-9.86677630376762,-8.8385024076644,-13.5010190071826,-13.9674360138475,-8.85723875612771,-9.24283700191517,-13.8956758734649,-9.24184238518099
"(Intercept)",282.999292730125,293.830955217883,271.872647730592,272.088768907476,233.867873604303,258.305411267708,227.59189116121,232.261874373561,224.432652962987,269.042060397651,263.579982305633,229.777184148219,255.526526368139,226.278525905144,227.835289622541,223.02257177235
"Nlaunchsite",44.4376078699643,44.6328254578636,43.9234955545995,44.4004857528886,44.465123860998,43.9290582674849,43.9539895357046,44.4167887242309,43.9460998756965,43.952434406388,44.3740217171078,44.4253928517754,43.9610247334061,43.9828504120197,44.3905501625937,43.9775749714763
"invlength",-18.1508619869452,-18.5560558220087,-19.0981200522428,-17.8856727868894,-17.4221753823907,-19.097821622546,-18.24380592456,-16.9325602374889,-18.0623126077331,-19.494655663364,-18.9161614479809,-18.3458629494883,-19.5150243983232,-18.6308534568792,-17.9428161732777,-18.4721970366531
"freq",-10.8296129728629,-10.5953999523589,-1.93366004495897,-8.4024860097528,-11.4891338106022,-2.03751314024224,-2.74216224096544,-8.71160563539951,-2.32228120598764,-0.366414031614457,-4.36443335756998,-6.14603527344299,-0.709687301524747,-1.16868010012169,-4.66026802493225,-0.999803811905781
"rpl",4.14272923432778,3.9610589619528,4.33328982503283,4.22320707953826,4.12606942891472,4.305171696254,4.31917449880727,4.24391605616298,4.33179686537073,4.47648991305341,4.49840900629374,4.44605561901071,4.44130926512572,4.46334413648788,4.52121494640225,4.46718174571752
"rpt",-3.92812344079819,-3.28041777155491,-3.87469417821541,-3.95319141367002,-3.9847124168898,-3.86577780898927,-3.94610623259582,-4.03096374216265,-3.95185726379295,-3.6953244261804,-3.59170748799331,-3.62475479901514,-3.68164974502013,-3.76306938677524,-3.66405364350703,-3.76551297069513
"rps",-5.35668291161097,-4.85006270329071,-5.76374800114497,-5.29187232309675,-5.29671424922322,-5.78261302594409,-5.68698403732738,-5.19252416241226,-5.66933935174771,-5.54841350024676,-4.98865034060806,-4.95383925040052,-5.57304561687854,-5.47153053364659,-4.88706607973665,-5.4626413676891
"invlength:freq",16.9807855969543,17.1675665007303,15.679258944778,17.0883329058423,16.3030937521826,15.5436973803586,14.8649113674288,16.4436596866365,14.8516936506754,15.1795683003113,15.7864440466923,15.0573821689254,15.0182614060577,14.3775079245187,15.1609041404542,14.3481204535066
"R2m",0.0984459444430214,0.105468483161144,0.108648051139871,0.0989431464619333,0.0991966373088518,0.108542580445397,0.10963517392751,0.100052840181391,0.10971683663637,0.10898063330016,0.100906702299396,0.101459808543484,0.108854404519187,0.109959346381831,0.101963809029996,0.109991079177958
"R2c",0.219634716551866,0.21660577241391,0.216598052791007,0.220212051285343,0.219324697338342,0.216385773944306,0.216251725953414,0.220129639364612,0.216376495191347,0.215588138659528,0.216890687379974,0.216454019589651,0.215328994844513,0.215328686482483,0.216932315182341,0.215390705978845
"CLOZE_pred",NA,-16.234968340015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X4.gramcache.0.0001500000_0.15",NA,NA,-21.0196202460897,NA,NA,-20.9335029142126,-21.2647658513421,NA,-21.0339356094478,-17.9083898213866,NA,NA,-17.9035372924351,-18.1457694162945,NA,-18.0181746938645
"LSA009.promedio.conSW",NA,NA,NA,-2.17092068568721,NA,0.681707496567416,NA,-3.14710542240999,-0.412517191763573,NA,-1.18692676302683,NA,0.905262851973618,NA,-2.17039610352119,-0.181650993319483
"FT050.distancia.promedio_conSW_wiki",NA,NA,NA,NA,4.42606494471027,NA,5.39427807663477,4.97980393480051,5.36300248057436,NA,NA,4.54328623110017,NA,5.35375209374271,4.8934854097495,5.27613048668867
"awd",NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.71390219860515,-12.0479304100361,-12.2232587270426,-5.74577926463864,-5.67534390368531,-12.0080750843067,-5.66404648911234
