"","M0","M1","M2","M3","M4","M5","M6","M7","M8","M9","M10","M11","M12","M13","M14","M15","M16"
"CLOZE_pred_remef",-16.1390502314783,9.77235573838444e-06,-9.46520527151425,-15.9863309964078,-16.5545838446888,-9.48274128326338,-9.87114042454189,-16.3906240405421,-9.86677630376762,-7.37148589742249,-6.77794461401084,-7.36774878903474,-7.66507570938689,-6.76573929918453,-7.07434496449762,-7.67442867978233,-7.06998360699064
"(Intercept)",282.999292730125,293.830955217883,271.872647730592,272.088768907476,233.867873604303,258.305411267708,227.59189116121,232.261874373561,224.432652962987,274.487851928594,270.547920258849,260.567510115504,227.802030797299,256.185281898779,226.242925680608,224.628250011582,222.659996526942
"Nlaunchsite",44.4376078699643,44.6328254578636,43.9234955545995,44.4004857528886,44.465123860998,43.9290582674849,43.9539895357046,44.4167887242309,43.9460998756965,44.3100500221991,43.9867026140022,44.3147565561553,44.3460751901299,44.0022703528086,44.0238347007292,44.334083828399,44.0234399589461
"invlength",-18.1508619869452,-18.5560558220087,-19.0981200522428,-17.8856727868894,-17.4221753823907,-19.097821622546,-18.24380592456,-16.9325602374889,-18.0623126077331,-18.5910621472808,-19.0950304370737,-18.5863696147192,-17.6672566873956,-19.1728049875046,-18.1691526587293,-17.4806637935171,-18.076141424043
"freq",-10.8296129728629,-10.5953999523589,-1.93366004495897,-8.4024860097528,-11.4891338106022,-2.03751314024224,-2.74216224096544,-8.71160563539951,-2.32228120598764,-5.7702946896266,-1.65688187701077,-5.40141883042132,-6.63832363540469,-2.09078754957921,-2.52971464759993,-5.70360682629151,-2.39193430437323
"rpl",4.14272923432778,3.9610589619528,4.33328982503283,4.22320707953826,4.12606942891472,4.305171696254,4.31917449880727,4.24391605616298,4.33179686537073,4.11737666651115,4.27373025965941,4.09119310595831,4.10037379500668,4.21865459721811,4.25730420900525,4.1192181500484,4.24595911083598
"rpt",-3.92812344079819,-3.28041777155491,-3.87469417821541,-3.95319141367002,-3.9847124168898,-3.86577780898927,-3.94610623259582,-4.03096374216265,-3.95185726379295,-4.67616002975369,-4.27012549234199,-4.67216352182743,-4.76782584699807,-4.25923204775656,-4.36592952084061,-4.77296350051582,-4.36289660294075
"rps",-5.35668291161097,-4.85006270329071,-5.76374800114497,-5.29187232309675,-5.29671424922322,-5.78261302594409,-5.68698403732738,-5.19252416241226,-5.66933935174771,-4.97178435199452,-5.45976111170915,-4.98558752938628,-4.87219819843862,-5.49581409297485,-5.35772014462009,-4.8539780209688,-5.36225830641563
"invlength:freq",16.9807855969543,17.1675665007303,15.679258944778,17.0883329058423,16.3030937521826,15.5436973803586,14.8649113674288,16.4436596866365,14.8516936506754,16.911585606032,15.9665628377993,16.7908515967205,16.0313704614623,15.7745602599186,15.098453231388,16.0279267913155,15.0454600713577
"R2m",0.0984459444430214,0.105468483161144,0.108648051139871,0.0989431464619333,0.0991966373088518,0.108542580445397,0.10963517392751,0.100052840181391,0.10971683663637,0.10727140747834,0.110624912526166,0.107183797056375,0.108525972214441,0.110452588961523,0.111828062220456,0.108634422565572,0.111789791241212
"R2c",0.219634716551866,0.21660577241391,0.216598052791007,0.220212051285343,0.219324697338342,0.216385773944306,0.216251725953414,0.220129639364612,0.216376495191347,0.217296871349131,0.216364113187248,0.217124771872904,0.217077199098213,0.215938815041322,0.216079814585095,0.217233083168881,0.216012092280851
"CLOZE_pred",NA,-16.234968340015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X4.gramcache.0.0001500000_0.15",NA,NA,-21.0196202460897,NA,NA,-20.9335029142126,-21.2647658513421,NA,-21.0339356094478,NA,-12.6720496099677,NA,NA,-12.7379954734093,-12.6751853206544,NA,-12.6678714708194
"LSA009.promedio.conSW",NA,NA,NA,-2.17092068568721,NA,0.681707496567416,NA,-3.14710542240999,-0.412517191763573,NA,NA,0.605738155195584,NA,1.37878778064293,NA,-0.561873629146876,0.224085212008803
"FT050.distancia.promedio_conSW_wiki",NA,NA,NA,NA,4.42606494471027,NA,5.39427807663477,4.97980393480051,5.36300248057436,NA,NA,NA,5.87903097472439,NA,5.88303939337164,5.87100449647122,5.71846430847017
"awd",NA,NA,NA,NA,NA,NA,NA,NA,NA,-18.2280108305481,-7.38074596470915,-18.1217441379134,-18.6587374711552,-7.48163531416704,-7.74706715818562,-18.3988571435748,-7.74198655754445
