"","M0","M1","M2","M3","M4","M5","M6","M7","M8","M9","M10","M11","M12","M13","M14","M15"
"CLOZE_pred_remef",-16.1390502314783,9.77235573838444e-06,-9.46520527151425,-15.9863309964078,-16.5545838446888,-9.48274128326338,-9.87114042454189,-16.3906240405421,-9.86677630376762,-8.26230503072439,-11.6075394925912,-12.0194766208649,-8.27863096629652,-8.65797557015163,-11.9870818404191,-8.65799889977375
"(Intercept)",282.999292730125,293.830955217883,271.872647730592,272.088768907476,233.867873604303,258.305411267708,227.59189116121,232.261874373561,224.432652962987,268.229504240875,259.962871236939,227.205092392464,254.529737467928,225.495824919021,224.978333771037,222.173348631226
"Nlaunchsite",44.4376078699643,44.6328254578636,43.9234955545995,44.4004857528886,44.465123860998,43.9290582674849,43.9539895357046,44.4167887242309,43.9460998756965,43.9364370165089,44.290345998404,44.3329264937693,43.9466871009949,43.9673556601301,44.3067527893113,43.9635752753317
"invlength",-18.1508619869452,-18.5560558220087,-19.0981200522428,-17.8856727868894,-17.4221753823907,-19.097821622546,-18.24380592456,-16.9325602374889,-18.0623126077331,-19.6234678514984,-19.2710352027671,-18.6074103771089,-19.6560564154134,-18.7478728544425,-18.2611182782919,-18.6017566008988
"freq",-10.8296129728629,-10.5953999523589,-1.93366004495897,-8.4024860097528,-11.4891338106022,-2.03751314024224,-2.74216224096544,-8.71160563539951,-2.32228120598764,0.916680051677696,-1.3416399708251,-2.42226695711656,0.436471539046461,0.150425722896609,-1.61272340151744,0.163622578100184
"rpl",4.14272923432778,3.9610589619528,4.33328982503283,4.22320707953826,4.12606942891472,4.305171696254,4.31917449880727,4.24391605616298,4.33179686537073,4.43648952346978,4.4206995104141,4.39057923837443,4.39643395819447,4.42562862106064,4.44744523161481,4.42524402372307
"rpt",-3.92812344079819,-3.28041777155491,-3.87469417821541,-3.95319141367002,-3.9847124168898,-3.86577780898927,-3.94610623259582,-4.03096374216265,-3.95185726379295,-4.05418514508059,-4.25782566851778,-4.30956171569192,-4.04139940101839,-4.12267233425271,-4.33208826134801,-4.12298963250803
"rps",-5.35668291161097,-4.85006270329071,-5.76374800114497,-5.29187232309675,-5.29671424922322,-5.78261302594409,-5.68698403732738,-5.19252416241226,-5.66933935174771,-5.52938187168081,-5.0125244937147,-4.95529673101417,-5.55764160225961,-5.44775366934965,-4.90412230145878,-5.44280937044237
"invlength:freq",16.9807855969543,17.1675665007303,15.679258944778,17.0883329058423,16.3030937521826,15.5436973803586,14.8649113674288,16.4436596866365,14.8516936506754,14.7124668978192,14.6923392118086,13.9597049388667,14.5339512725317,13.891009161671,14.0378732227862,13.8526235975835
"R2m",0.0984459444430214,0.105468483161144,0.108648051139871,0.0989431464619333,0.0991966373088518,0.108542580445397,0.10963517392751,0.100052840181391,0.10971683663637,0.109331145382562,0.102750956063464,0.103510745880522,0.109193791364419,0.110335757265966,0.103857222430575,0.110346995761144
"R2c",0.219634716551866,0.21660577241391,0.216598052791007,0.220212051285343,0.219324697338342,0.216385773944306,0.216251725953414,0.220129639364612,0.216376495191347,0.215842147982205,0.21776681683813,0.217616088648564,0.215556973871711,0.215643020571938,0.217931147974891,0.215661792258132
"CLOZE_pred",NA,-16.234968340015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X4.gramcache.0.0001500000_0.15",NA,NA,-21.0196202460897,NA,NA,-20.9335029142126,-21.2647658513421,NA,-21.0339356094478,-16.0835738521726,NA,NA,-16.115792177876,-16.2916386919941,NA,-16.2103216368123
"LSA009.promedio.conSW",NA,NA,NA,-2.17092068568721,NA,0.681707496567416,NA,-3.14710542240999,-0.412517191763573,NA,-0.619576132274811,NA,1.03712463109238,NA,-1.64654899028745,-0.0646331312231773
"FT050.distancia.promedio_conSW_wiki",NA,NA,NA,NA,4.42606494471027,NA,5.39427807663477,4.97980393480051,5.36300248057436,NA,NA,4.83776970584254,NA,5.44499974432583,5.07243252253123,5.34219273162501
"awd",NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.83462542110177,-14.8286941375864,-15.0942349599118,-6.88039872557253,-6.87432587185627,-14.8537290961701,-6.8632518322121
