"","M0","M1","M2","M3","M4","M5","M6","M7","M8","M9","M10","M11","M12","M13","M14","M15"
"CLOZE_pred_remef",-16.1390502314783,9.77235573838444e-06,-9.46520527151425,-15.9863309964078,-16.5545838446888,-9.48274128326338,-9.87114042454189,-16.3906240405421,-9.86677630376762,-7.98774266653979,-9.828280647595,-10.1758628036076,-7.99462513552283,-8.33915487948332,-10.1745821336265,-8.33841714545703
"(Intercept)",282.999292730125,293.830955217883,271.872647730592,272.088768907476,233.867873604303,258.305411267708,227.59189116121,232.261874373561,224.432652962987,270.913605391127,262.327944622041,228.210784147418,256.829559009898,226.449969398202,225.263388977309,222.999969611019
"Nlaunchsite",44.4376078699643,44.6328254578636,43.9234955545995,44.4004857528886,44.465123860998,43.9290582674849,43.9539895357046,44.4167887242309,43.9460998756965,43.9146170099898,44.1859996641799,44.2159750804916,43.9275203212754,43.9470517258561,44.2021064148952,43.945472038023
"invlength",-18.1508619869452,-18.5560558220087,-19.0981200522428,-17.8856727868894,-17.4221753823907,-19.097821622546,-18.24380592456,-16.9325602374889,-18.0623126077331,-19.4235613970348,-19.2076721721051,-18.3651403006043,-19.4806868367266,-18.5324305591818,-18.1233234456385,-18.4110887062098
"freq",-10.8296129728629,-10.5953999523589,-1.93366004495897,-8.4024860097528,-11.4891338106022,-2.03751314024224,-2.74216224096544,-8.71160563539951,-2.32228120598764,-0.135631486623977,-2.41280273513838,-3.25263253808908,-0.631235431013816,-0.900913867261543,-2.65671555766137,-0.871218514165978
"rpl",4.14272923432778,3.9610589619528,4.33328982503283,4.22320707953826,4.12606942891472,4.305171696254,4.31917449880727,4.24391605616298,4.33179686537073,4.30409571967456,4.15072961332423,4.14925549590411,4.25424969083027,4.2886009701488,4.17811534701246,4.28171630412665
"rpt",-3.92812344079819,-3.28041777155491,-3.87469417821541,-3.95319141367002,-3.9847124168898,-3.86577780898927,-3.94610623259582,-4.03096374216265,-3.95185726379295,-4.21546192487676,-4.63566866570262,-4.72706126786445,-4.20512445441758,-4.30915867004539,-4.73498671971409,-4.30743535688007
"rps",-5.35668291161097,-4.85006270329071,-5.76374800114497,-5.29187232309675,-5.29671424922322,-5.78261302594409,-5.68698403732738,-5.19252416241226,-5.66933935174771,-5.49142323963211,-4.96944847767226,-4.86666117774988,-5.52413266826734,-5.39169925759771,-4.84077315868718,-5.39255281612554
"invlength:freq",16.9807855969543,17.1675665007303,15.679258944778,17.0883329058423,16.3030937521826,15.5436973803586,14.8649113674288,16.4436596866365,14.8516936506754,14.6723762976213,14.20267139409,13.4082681784099,14.4599591238997,13.7528591664404,13.4274986419929,13.6978360278143
"R2m",0.0984459444430214,0.105468483161144,0.108648051139871,0.0989431464619333,0.0991966373088518,0.108542580445397,0.10963517392751,0.100052840181391,0.10971683663637,0.109557412711424,0.104861070838283,0.106047442528698,0.109386853976587,0.110673732017126,0.106215461954649,0.110654147537318
"R2c",0.219634716551866,0.21660577241391,0.216598052791007,0.220212051285343,0.219324697338342,0.216385773944306,0.216251725953414,0.220129639364612,0.216376495191347,0.216792907288369,0.218758507844903,0.218624600950823,0.216421726333166,0.216511498348904,0.218839137859057,0.216482106992468
"CLOZE_pred",NA,-16.234968340015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X4.gramcache.0.0001500000_0.15",NA,NA,-21.0196202460897,NA,NA,-20.9335029142126,-21.2647658513421,NA,-21.0339356094478,-13.8053075378668,NA,NA,-13.8666932168096,-13.8325040221904,NA,-13.8112032355771
"LSA009.promedio.conSW",NA,NA,NA,-2.17092068568721,NA,0.681707496567416,NA,-3.14710542240999,-0.412517191763573,NA,0.321323060363484,NA,1.25178461442004,NA,-0.830604737078342,0.107440697854753
"FT050.distancia.promedio_conSW_wiki",NA,NA,NA,NA,4.42606494471027,NA,5.39427807663477,4.97980393480051,5.36300248057436,NA,NA,5.75023620998679,NA,5.80438564146413,5.79905992507159,5.66456334663583
"awd",NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.41593141157676,-16.7700386194863,-17.3052907005374,-6.50222396575877,-6.76397594889831,-17.0361873085272,-6.75307669297107
