"","M0","M1","M2","M3","M4","M5","M6","M7","M8","M9","M10","M11","M12","M13","M14","M15","M16"
"CLOZE_pred_remef",-16.1390502314783,9.77235573838444e-06,-9.46520527151425,-15.9863309964078,-16.5545838446888,-9.48274128326338,-9.87114042454189,-16.3906240405421,-9.86677630376762,-7.9402145405418,-9.72755787982298,-9.73195179638073,-10.083305144965,-7.9474858586063,-8.29444578182267,-10.081890555773,-8.29374849367652
"(Intercept)",282.999292730125,293.830955217883,271.872647730592,272.088768907476,233.867873604303,258.305411267708,227.59189116121,232.261874373561,224.432652962987,270.802433663754,275.556539279228,262.148597339234,228.203800619193,256.757118156471,226.448412280248,225.299340578049,223.011911242512
"Nlaunchsite",44.4376078699643,44.6328254578636,43.9234955545995,44.4004857528886,44.465123860998,43.9290582674849,43.9539895357046,44.4167887242309,43.9460998756965,43.9440213070773,44.2485314246411,44.2489745407863,44.280865627635,43.9571663494333,43.9779180902176,44.2661952974987,43.9761655239426
"invlength",-18.1508619869452,-18.5560558220087,-19.0981200522428,-17.8856727868894,-17.4221753823907,-19.097821622546,-18.24380592456,-16.9325602374889,-18.0623126077331,-19.4170071881558,-19.230139435517,-19.1822818749254,-18.3445288145566,-19.4741348388887,-18.5260757973455,-18.1033826243274,-18.405003833281
"freq",-10.8296129728629,-10.5953999523589,-1.93366004495897,-8.4024860097528,-11.4891338106022,-2.03751314024224,-2.74216224096544,-8.71160563539951,-2.32228120598764,-0.124684889040157,-2.48843912695605,-2.39554106150636,-3.24312048131979,-0.621125908423376,-0.895094505341407,-2.64348134408986,-0.864464302974998
"rpl",4.14272923432778,3.9610589619528,4.33328982503283,4.22320707953826,4.12606942891472,4.305171696254,4.31917449880727,4.24391605616298,4.33179686537073,4.26656825682564,4.08799049809157,4.07295118742826,4.06928053940078,4.21623873476157,4.24917401182873,4.09875968237341,4.24232171634809
"rpt",-3.92812344079819,-3.28041777155491,-3.87469417821541,-3.95319141367002,-3.9847124168898,-3.86577780898927,-3.94610623259582,-4.03096374216265,-3.95185726379295,-4.21022081559282,-4.6151203487837,-4.61283047144167,-4.70261327446863,-4.1994932270729,-4.30219186157841,-4.7108493851959,-4.30045920835088
"rps",-5.35668291161097,-4.85006270329071,-5.76374800114497,-5.29187232309675,-5.29671424922322,-5.78261302594409,-5.68698403732738,-5.19252416241226,-5.66933935174771,-5.48410143832207,-4.95774540245985,-4.96411097937171,-4.86250519480545,-5.51679028682324,-5.38531911521473,-4.83648484010767,-5.38608241046432
"invlength:freq",16.9807855969543,17.1675665007303,15.679258944778,17.0883329058423,16.3030937521826,15.5436973803586,14.8649113674288,16.4436596866365,14.8516936506754,14.6665754243094,14.3216929368008,14.2072880383381,13.4219330901085,14.4557602899465,13.7536690626731,13.4414858872209,13.6992869740782
"R2m",0.0984459444430214,0.105468483161144,0.108648051139871,0.0989431464619333,0.0991966373088518,0.108542580445397,0.10963517392751,0.100052840181391,0.10971683663637,0.109611867221598,0.105062437963212,0.105013118554662,0.106179560081243,0.109441638096556,0.110722349534677,0.10634949523661,0.110703479167027
"R2c",0.219634716551866,0.21660577241391,0.216598052791007,0.220212051285343,0.219324697338342,0.216385773944306,0.216251725953414,0.220129639364612,0.216376495191347,0.216782501308786,0.218814687987102,0.218734425966605,0.218574732716778,0.216414432988497,0.216490984339226,0.218782170623958,0.216460955635389
"CLOZE_pred",NA,-16.234968340015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X4.gramcache.0.0001500000_0.15",NA,NA,-21.0196202460897,NA,NA,-20.9335029142126,-21.2647658513421,NA,-21.0339356094478,-13.6766964455686,NA,NA,NA,-13.7383996787367,-13.7136300098603,NA,-13.6918321011382
"LSA009.promedio.conSW",NA,NA,NA,-2.17092068568721,NA,0.681707496567416,NA,-3.14710542240999,-0.412517191763573,NA,NA,0.312593816471593,NA,1.24820498053292,NA,-0.83462985044157,0.104559053423568
"FT050.distancia.promedio_conSW_wiki",NA,NA,NA,NA,4.42606494471027,NA,5.39427807663477,4.97980393480051,5.36300248057436,NA,NA,NA,5.71398792711288,NA,5.79187961415856,5.76414463442046,5.65242785176776
"awd",NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.55593013401973,-17.0616041866891,-16.9324671161491,-17.4518080632483,-6.63987510980769,-6.88639473851844,-17.1851796974407,-6.87574521247332
